ID11/EPS/PLC-01,A,50,390,835,1155,2135,2455
VAR,,MODBUS ADDRESS,TYPE VAR,,,DEVICES,DEVICE TYPE
PLC_CONFIG,.StatusRead,0,INT,,,PLC_CONFIG,CPU
PLC_CONFIG,.StatusWrite,1,INT,,,SW_PWLNK_OUT_0,EPL
EPL_PLC.EPL_Conex.Status,.StatusRead,2,INT,,,SW_PWLNK_MB_0,EPL
EPL_PLC.EPL_Conex.Status,.StatusWrite,3,INT,,,SW_PWLNK_T_0,EPL
EPL_err_bit,.StatusRead,4,INT,,,SW_PWLNK_OUT_1,EPL
EPL_err_bit,.StatusWrite,5,INT,,,SW_PWLNK_MB_1,EPL
SW_PWLNK_OUT_0,.StatusRead,6,INT,,,SW_PWLNK_T_1,EPL
SW_PWLNK_MB_0,.StatusRead,7,INT,,,EPL_PLC.EPL_Conex.Status,DI
SW_PWLNK_MB_0,.StatusWrite,8,INT,,,EPL_err_bit,DI
SW_PWLNK_T_0,.StatusRead,9,INT,,,SR_PC_CORID_RKA06C03_01_ITLK_DI,DI
SW_PWLNK_OUT_1,.StatusRead,10,INT,,,SR_PC_CORID_RKA06C03_02_ITLK_DO,DO
SW_PWLNK_MB_1,.StatusRead,11,INT,,,SR_PC_CORID_RKA06C03_03_ITLK_DO,DO
SW_PWLNK_MB_1,.StatusWrite,12,INT,,,SR_PC_CORID_RKA06C03_04_ITLK_DO,DO
SW_PWLNK_T_1,.StatusRead,13,INT,,,SR_CT_IPAP_RKA06C03_01_DIS,DO
SR_PC_CORID_RKA06C03_01_ITLK_DI,.StatusRead,50,INT,,,SR_ID_IVU_S05_01_BKIN,DO
SR_PC_CORID_RKA06C03_02_ITLK_DO,.StatusRead,51,INT,,,SR_ID_IVU_S05_01_CP1TS,DI
SR_PC_CORID_RKA06C03_03_ITLK_DO,.StatusRead,52,INT,,,SR_ID_IVU_S05_01_CP2TS,DI
SR_PC_CORID_RKA06C03_04_ITLK_DO,.StatusRead,53,INT,,,SR_ID_IVU_S05_01_CP3TS,DI
SR_CT_IPAP_RKA06C03_01_DIS,.StatusRead,54,INT,,,SR_ID_IVU_S05_01_CP4TS,DI
SR_ID_IVU_S05_01_BKIN,.StatusRead,55,INT,,,SR_ID_IVU_S05_01_EVSLD,DI
SR_ID_IVU_S05_01_CP1TS,.StatusRead,56,INT,,,SR_ID_IVU_S05_01_EVSLU,DI
SR_ID_IVU_S05_01_CP2TS,.StatusRead,57,INT,,,SR_ID_IVU_S05_01_LCP1TS,DI
SR_ID_IVU_S05_01_CP3TS,.StatusRead,58,INT,,,SR_ID_IVU_S05_01_LCP2TS,DI
SR_ID_IVU_S05_01_CP4TS,.StatusRead,59,INT,,,SR_ID_IVU_S05_01_P1SLD,DI
SR_ID_IVU_S05_01_EVSLD,.StatusRead,60,INT,,,SR_ID_IVU_S05_01_P1SLU,DI
SR_ID_IVU_S05_01_EVSLU,.StatusRead,61,INT,,,SR_ID_IVU_S05_01_P2SLD,DI
SR_ID_IVU_S05_01_LCP1TS,.StatusRead,62,INT,,,SR_ID_IVU_S05_01_P2SLU,DI
SR_ID_IVU_S05_01_LCP2TS,.StatusRead,63,INT,,,SR_ID_IVU_S05_01_PSSW,DI
SR_ID_IVU_S05_01_P1SLD,.StatusRead,64,INT,,,A06C0201CC1_IVU_S05_01_CC1_DI,DI
SR_ID_IVU_S05_01_P1SLU,.StatusRead,65,INT,,,A06C0201CC1_IVU_S05_01_CC1_DO,DO
SR_ID_IVU_S05_01_P2SLD,.StatusRead,66,INT,,,A06C0201CC2_IVU_S05_01_CC2_DI,DI
SR_ID_IVU_S05_01_P2SLU,.StatusRead,67,INT,,,A06C0201CC2_IVU_S05_01_CC2_DO,DO
SR_ID_IVU_S05_01_PSSW,.StatusRead,68,INT,,,A06C0201PI1_IVU_S05_01_PI1_DI,DI
A06C0201CC1_IVU_S05_01_CC1_DI,.StatusRead,69,INT,,,A06C0201REM1_IVU_S05_01_IP1_DI,DI
A06C0201CC1_IVU_S05_01_CC1_DO,.StatusRead,70,INT,,,A06C0201REM1_IVU_S05_01_IP1_DO,DO
A06C0201CC2_IVU_S05_01_CC2_DI,.StatusRead,71,INT,,,A06C0201REM2_IVU_S05_01_IP2_DI,DI
A06C0201CC2_IVU_S05_01_CC2_DO,.StatusRead,72,INT,,,A06C0201REM2_IVU_S05_01_IP2_DO,DO
A06C0201PI1_IVU_S05_01_PI1_DI,.StatusRead,73,INT,,,A06C0202REM1_IVU_S05_01_IP3_DI,DI
A06C0201REM1_IVU_S05_01_IP1_DI,.StatusRead,74,INT,,,A06C0202REM1_IVU_S05_01_IP3_DO,DO
A06C0201REM1_IVU_S05_01_IP1_DO,.StatusRead,75,INT,,,A06C0202REM2_IVU_S05_01_IP4_DI,DI
A06C0201REM2_IVU_S05_01_IP2_DI,.StatusRead,76,INT,,,A06C0202REM2_IVU_S05_01_IP4_DO,DO
A06C0201REM2_IVU_S05_01_IP2_DO,.StatusRead,77,INT,,,A06C0203REM1_IVU_S05_01_IP5_DI,DI
A06C0202REM1_IVU_S05_01_IP3_DI,.StatusRead,78,INT,,,A06C0203REM1_IVU_S05_01_IP5_DO,DO
A06C0202REM1_IVU_S05_01_IP3_DO,.StatusRead,79,INT,,,A06C0203REM2_IVU_S05_01_IP6_DI,DI
A06C0202REM2_IVU_S05_01_IP4_DI,.StatusRead,80,INT,,,A06C0203REM2_IVU_S05_01_IP6_DO,DO
A06C0202REM2_IVU_S05_01_IP4_DO,.StatusRead,81,INT,,,A06C0204REM1_IVU_S05_01_IP7_DI,DI
A06C0203REM1_IVU_S05_01_IP5_DI,.StatusRead,82,INT,,,A06C0204REM1_IVU_S05_01_IP7_DO,DO
A06C0203REM1_IVU_S05_01_IP5_DO,.StatusRead,83,INT,,,A06C0204REM2_IVU_S05_01_IP8_DI,DI
A06C0203REM2_IVU_S05_01_IP6_DI,.StatusRead,84,INT,,,A06C0204REM2_IVU_S05_01_IP8_DO,DO
A06C0203REM2_IVU_S05_01_IP6_DO,.StatusRead,85,INT,,,A06C0205REM1_IVU_S05_01_IP9_DI,DI
A06C0204REM1_IVU_S05_01_IP7_DI,.StatusRead,86,INT,,,A06C0205REM1_IVU_S05_01_IP9_DO,DO
A06C0204REM1_IVU_S05_01_IP7_DO,.StatusRead,87,INT,,,SR_ID_IVU_S05_01_EVTS1,A
A06C0204REM2_IVU_S05_01_IP8_DI,.StatusRead,88,INT,,,SR_ID_IVU_S05_01_P1TS1,A
A06C0204REM2_IVU_S05_01_IP8_DO,.StatusRead,89,INT,,,SR_ID_IVU_S05_01_P2TS1,A
A06C0205REM1_IVU_S05_01_IP9_DI,.StatusRead,90,INT,,,SR_ID_IVU_S05_01_TCOIL_DWH1,A
A06C0205REM1_IVU_S05_01_IP9_DO,.StatusRead,91,INT,,,SR_ID_IVU_S05_01_TCOIL_DWH2,A
SR_PC_CORID_RKA06C03_01_ITLK_DI,.StatusWrite,390,INT,,,SR_ID_IVU_S05_01_TCOIL_DWV1,A
