Tango	CCDB	Channel
BO01/VC/CCG-01	BO-VC-CCG-B01-01	
BO01/VC/CCG-02	BO-VC-CCG-B01-02	
BO01/VC/CCG-03	BO-VC-CCG-B01-03	
BO01/VC/IP-01	BO-VC-IP20-B01-01	
BO01/VC/IP-02	BO-VC-IP20-B01-02	
BO01/VC/IP-03	BO-VC-IP20-B01-03	
BO01/VC/IP-04	BO-VC-IP20-B01-04	
BO01/VC/IP-05	BO-VC-IP20-B01-05	
BO01/VC/IP-06	BO-VC-IP20-B01-06	
BO01/VC/IP-07	BO-VC-IP20-B01-07	
BO01/VC/IP-08	BO-VC-IP20-B01-08	
BO01/VC/IP-09	BO-VC-IP20-B01-09	
BO01/VC/IP-10	BO-VC-IP20-B01-10	
BO01/VC/IP-11	BO-VC-IP20-B01-11	
BO01/VC/IP-12	BO-VC-IP20-B01-12	
BO01/VC/IP-13	BO-VC-IP20-B01-13	
BO01/VC/IP-14	BO-VC-IP20-B01-14	
BO01/VC/IP-15	BO-VC-IP20-B01-15	
BO01/VC/IP-16	BO-VC-IP20-B01-16	
BO01/VC/IP-17	BO-VC-IP20-B01-17	
BO01/VC/IP-18	BO-VC-IP20-B01-18	
BO01/VC/IP-19	BO-VC-IP20-B01-19	
BO01/VC/IP-20	BO-VC-IP20-B01-20	
BO01/VC/IP-21	BO-VC-IP20-B01-21	
BO01/VC/IP-22	BO-VC-IP20-B01-22	
BO01/VC/IP-23	BO-VC-IP20-B01-23	
BO01/VC/IP-24	BO-VC-IP20-B01-24	
BO01/VC/IP-25	BO-VC-IP20-B01-25	
BO01/VC/IP-26	BO-VC-IP20-B01-26	
BO01/VC/IP-27	BO-VC-IP20-B01-27	
BO01/VC/IP-28	BO-VC-IP20-B01-28	
BO01/VC/IP-29	BO-VC-IP20-B01-29	
BO01/VC/IP-30	BO-VC-IP20-B01-30	
BO01/VC/IP-31	BO-VC-IP20-B01-31	
BO01/VC/IP-32	BO-VC-IP75-B01-32	
BO01/VC/IPCT-01	BO-VC-IPCT-RKA02B10-01	
BO01/VC/IPCT-02	BO-VC-IPCT-RKA02B10-02	
BO01/VC/IPCT-03	BO-VC-IPCT-RKA05A10-01	
BO01/VC/IPCT-04	BO-VC-IPCT-RKA05A10-02	
BO01/VC/PIR-01	BO-VC-PIR-B01-01	
BO01/VC/PIR-02	BO-VC-PIR-B01-02	
BO01/VC/SPBX-01	BO-VC-SPBX-RKA02B10-01	
BO01/VC/SPBX-02	BO-VC-SPBX-RKA02B10-02	
BO01/VC/SPBX-03	BO-VC-SPBX-RKA05A10-01	
BO01/VC/SPBX-04	BO-VC-SPBX-RKA05A10-02	
BO01/VC/VGCT-01	BO-VC-VGCT-RKA02B10-01	
BO01/VC/VGCT-02	BO-VC-VGCT-RKA05A10-01	
BO02/VC/CCG-01	BO-VC-CCG-B02-01	
BO02/VC/CCG-02	BO-VC-CCG-B02-02	
BO02/VC/IP-01	BO-VC-IP20-B02-01	
BO02/VC/IP-02	BO-VC-IP20-B02-02	
BO02/VC/IP-03	BO-VC-IP20-B02-03	
BO02/VC/IP-04	BO-VC-IP20-B02-04	
BO02/VC/IP-05	BO-VC-IP20-B02-05	
BO02/VC/IP-06	BO-VC-IP20-B02-06	
BO02/VC/IP-07	BO-VC-IP20-B02-07	
BO02/VC/IP-08	BO-VC-IP20-B02-08	
BO02/VC/IP-09	BO-VC-IP20-B02-09	
BO02/VC/IP-10	BO-VC-IP20-B02-10	
BO02/VC/IP-11	BO-VC-IP20-B02-11	
BO02/VC/IP-12	BO-VC-IP20-B02-12	
BO02/VC/IP-13	BO-VC-IP20-B02-13	
BO02/VC/IP-14	BO-VC-IP20-B02-14	
BO02/VC/IP-15	BO-VC-IP20-B02-15	
BO02/VC/IP-16	BO-VC-IP20-B02-16	
BO02/VC/IP-17	BO-VC-IP20-B02-17	
BO02/VC/IP-18	BO-VC-IP20-B02-18	
BO02/VC/IP-19	BO-VC-IP20-B02-19	
BO02/VC/IP-20	BO-VC-IP20-B02-20	
BO02/VC/IP-21	BO-VC-IP20-B02-21	
BO02/VC/IP-22	BO-VC-IP20-B02-22	
BO02/VC/IP-23	BO-VC-IP20-B02-23	
BO02/VC/IP-24	BO-VC-IP20-B02-24	
BO02/VC/IP-25	BO-VC-IP20-B02-25	
BO02/VC/IP-26	BO-VC-IP20-B02-26	
BO02/VC/IP-27	BO-VC-IP20-B02-27	
