CCDB	Channel	Tango
SR-CT-PAPA-RKA01A09-01	P1	SR01/VC/SERIAL-01
SR-CT-PAPA-RKA01A09-01	P10	SR01/VC/SERIAL-10
SR-CT-PAPA-RKA01A09-01	P11	SR01/VC/SERIAL-11
SR-CT-PAPA-RKA01A09-01	P12	SR01/VC/SERIAL-12
SR-CT-PAPA-RKA01A09-01	P13	SR01/VC/SERIAL-13
SR-CT-PAPA-RKA01A09-01	P14	SR01/VC/SERIAL-14
SR-CT-PAPA-RKA01A09-01	P15	SR01/VC/SERIAL-15
SR-CT-PAPA-RKA01A09-01	P16	SR01/VC/SERIAL-16
SR-CT-PAPA-RKA01A09-01	P2	SR01/VC/SERIAL-02
SR-CT-PAPA-RKA01A09-01	P3	SR01/VC/SERIAL-03
SR-CT-PAPA-RKA01A09-01	P4	SR01/VC/SERIAL-04
SR-CT-PAPA-RKA01A09-01	P5	SR01/VC/SERIAL-05
SR-CT-PAPA-RKA01A09-01	P6	SR01/VC/SERIAL-06
SR-CT-PAPA-RKA01A09-01	P7	SR01/VC/SERIAL-07
SR-CT-PAPA-RKA01A09-01	P8	SR01/VC/SERIAL-08
SR-CT-PAPA-RKA01A09-01	P9	SR01/VC/SERIAL-09
SR-CT-PAPA-RKA02A01-01	P1	SR02/VC/SERIAL-01
SR-CT-PAPA-RKA02A01-01	P10	SR02/VC/SERIAL-10
SR-CT-PAPA-RKA02A01-01	P11	SR02/VC/SERIAL-11
SR-CT-PAPA-RKA02A01-01	P12	SR02/VC/SERIAL-12
SR-CT-PAPA-RKA02A01-01	P13	SR02/VC/SERIAL-13
SR-CT-PAPA-RKA02A01-01	P14	SR02/VC/SERIAL-14
SR-CT-PAPA-RKA02A01-01	P15	SR02/VC/SERIAL-15
SR-CT-PAPA-RKA02A01-01	P16	SR02/VC/SERIAL-16
SR-CT-PAPA-RKA02A01-01	P2	SR02/VC/SERIAL-02
SR-CT-PAPA-RKA02A01-01	P3	SR02/VC/SERIAL-03
SR-CT-PAPA-RKA02A01-01	P4	SR02/VC/SERIAL-04
SR-CT-PAPA-RKA02A01-01	P5	SR02/VC/SERIAL-05
SR-CT-PAPA-RKA02A01-01	P6	SR02/VC/SERIAL-06
SR-CT-PAPA-RKA02A01-01	P7	SR02/VC/SERIAL-07
SR-CT-PAPA-RKA02A01-01	P8	SR02/VC/SERIAL-08
SR-CT-PAPA-RKA02A01-01	P9	SR02/VC/SERIAL-09
SR-CT-PAPA-RKA02D08-01	P1	SR03/VC/SERIAL-01
SR-CT-PAPA-RKA02D08-01	P10	SR03/VC/SERIAL-10
SR-CT-PAPA-RKA02D08-01	P11	SR03/VC/SERIAL-11
SR-CT-PAPA-RKA02D08-01	P12	SR03/VC/SERIAL-12
SR-CT-PAPA-RKA02D08-01	P13	SR03/VC/SERIAL-13
SR-CT-PAPA-RKA02D08-01	P14	SR03/VC/SERIAL-14
SR-CT-PAPA-RKA02D08-01	P15	SR03/VC/SERIAL-15
SR-CT-PAPA-RKA02D08-01	P16	SR03/VC/SERIAL-16
SR-CT-PAPA-RKA02D08-01	P2	SR03/VC/SERIAL-02
SR-CT-PAPA-RKA02D08-01	P3	SR03/VC/SERIAL-03
SR-CT-PAPA-RKA02D08-01	P4	SR03/VC/SERIAL-04
SR-CT-PAPA-RKA02D08-01	P5	SR03/VC/SERIAL-05
SR-CT-PAPA-RKA02D08-01	P6	SR03/VC/SERIAL-06
SR-CT-PAPA-RKA02D08-01	P7	SR03/VC/SERIAL-07
SR-CT-PAPA-RKA02D08-01	P8	SR03/VC/SERIAL-08
SR-CT-PAPA-RKA02D08-01	P9	SR03/VC/SERIAL-09
SR-CT-PAPA-RKA04A05-01	P1	SR04/VC/SERIAL-01
SR-CT-PAPA-RKA04A05-01	P10	SR04/VC/SERIAL-10
SR-CT-PAPA-RKA04A05-01	P11	SR04/VC/SERIAL-11
SR-CT-PAPA-RKA04A05-01	P12	SR04/VC/SERIAL-12
SR-CT-PAPA-RKA04A05-01	P13	SR04/VC/SERIAL-13
SR-CT-PAPA-RKA04A05-01	P14	SR04/VC/SERIAL-14
SR-CT-PAPA-RKA04A05-01	P15	SR04/VC/SERIAL-15
SR-CT-PAPA-RKA04A05-01	P16	SR04/VC/SERIAL-16
SR-CT-PAPA-RKA04A05-01	P2	SR04/VC/SERIAL-02
SR-CT-PAPA-RKA04A05-01	P3	SR04/VC/SERIAL-03
SR-CT-PAPA-RKA04A05-01	P4	SR04/VC/SERIAL-04
SR-CT-PAPA-RKA04A05-01	P5	SR04/VC/SERIAL-05
SR-CT-PAPA-RKA04A05-01	P6	SR04/VC/SERIAL-06
SR-CT-PAPA-RKA04A05-01	P7	SR04/VC/SERIAL-07
SR-CT-PAPA-RKA04A05-01	P8	SR04/VC/SERIAL-08
SR-CT-PAPA-RKA04A05-01	P9	SR04/VC/SERIAL-09
SR-CT-PAPA-RKA04D05-01	P1	SR05/VC/SERIAL-01
SR-CT-PAPA-RKA04D05-01	P10	SR05/VC/SERIAL-10
SR-CT-PAPA-RKA04D05-01	P11	SR05/VC/SERIAL-11
SR-CT-PAPA-RKA04D05-01	P12	SR05/VC/SERIAL-12
SR-CT-PAPA-RKA04D05-01	P13	SR05/VC/SERIAL-13
SR-CT-PAPA-RKA04D05-01	P14	SR05/VC/SERIAL-14
SR-CT-PAPA-RKA04D05-01	P15	SR05/VC/SERIAL-15
SR-CT-PAPA-RKA04D05-01	P16	SR05/VC/SERIAL-16
SR-CT-PAPA-RKA04D05-01	P2	SR05/VC/SERIAL-02
SR-CT-PAPA-RKA04D05-01	P3	SR05/VC/SERIAL-03
SR-CT-PAPA-RKA04D05-01	P4	SR05/VC/SERIAL-04
SR-CT-PAPA-RKA04D05-01	P5	SR05/VC/SERIAL-05
SR-CT-PAPA-RKA04D05-01	P6	SR05/VC/SERIAL-06
SR-CT-PAPA-RKA04D05-01	P7	SR05/VC/SERIAL-07
SR-CT-PAPA-RKA04D05-01	P8	SR05/VC/SERIAL-08
SR-CT-PAPA-RKA04D05-01	P9	SR05/VC/SERIAL-09
SR-CT-PAPA-RKA06C01-01	P1	SR06/VC/SERIAL-01
SR-CT-PAPA-RKA06C01-01	P10	SR06/VC/SERIAL-10
SR-CT-PAPA-RKA06C01-01	P11	SR06/VC/SERIAL-11
SR-CT-PAPA-RKA06C01-01	P12	SR06/VC/SERIAL-12
SR-CT-PAPA-RKA06C01-01	P13	SR06/VC/SERIAL-13
SR-CT-PAPA-RKA06C01-01	P14	SR06/VC/SERIAL-14
SR-CT-PAPA-RKA06C01-01	P15	SR06/VC/SERIAL-15
SR-CT-PAPA-RKA06C01-01	P16	SR06/VC/SERIAL-16
SR-CT-PAPA-RKA06C01-01	P2	SR06/VC/SERIAL-02
SR-CT-PAPA-RKA06C01-01	P3	SR06/VC/SERIAL-03
SR-CT-PAPA-RKA06C01-01	P4	SR06/VC/SERIAL-04
SR-CT-PAPA-RKA06C01-01	P5	SR06/VC/SERIAL-05
SR-CT-PAPA-RKA06C01-01	P6	SR06/VC/SERIAL-06
SR-CT-PAPA-RKA06C01-01	P7	SR06/VC/SERIAL-07
SR-CT-PAPA-RKA06C01-01	P8	SR06/VC/SERIAL-08
SR-CT-PAPA-RKA06C01-01	P9	SR06/VC/SERIAL-09
SR-CT-PAPA-RKA07B04-01	P1	SR07/VC/SERIAL-01
SR-CT-PAPA-RKA07B04-01	P10	SR07/VC/SERIAL-10
SR-CT-PAPA-RKA07B04-01	P11	SR07/VC/SERIAL-11
SR-CT-PAPA-RKA07B04-01	P12	SR07/VC/SERIAL-12
SR-CT-PAPA-RKA07B04-01	P13	SR07/VC/SERIAL-13
SR-CT-PAPA-RKA07B04-01	P14	SR07/VC/SERIAL-14
SR-CT-PAPA-RKA07B04-01	P15	SR07/VC/SERIAL-15
SR-CT-PAPA-RKA07B04-01	P16	SR07/VC/SERIAL-16
SR-CT-PAPA-RKA07B04-01	P2	SR07/VC/SERIAL-02
SR-CT-PAPA-RKA07B04-01	P3	SR07/VC/SERIAL-03
SR-CT-PAPA-RKA07B04-01	P4	SR07/VC/SERIAL-04
SR-CT-PAPA-RKA07B04-01	P5	SR07/VC/SERIAL-05
SR-CT-PAPA-RKA07B04-01	P6	SR07/VC/SERIAL-06
SR-CT-PAPA-RKA07B04-01	P7	SR07/VC/SERIAL-07
SR-CT-PAPA-RKA07B04-01	P8	SR07/VC/SERIAL-08
SR-CT-PAPA-RKA07B04-01	P9	SR07/VC/SERIAL-09
SR-CT-PAPA-RKA08E01-01	P1	SR08/VC/SERIAL-01
SR-CT-PAPA-RKA08E01-01	P10	SR08/VC/SERIAL-10
SR-CT-PAPA-RKA08E01-01	P11	SR08/VC/SERIAL-11
SR-CT-PAPA-RKA08E01-01	P12	SR08/VC/SERIAL-12
SR-CT-PAPA-RKA08E01-01	P13	SR08/VC/SERIAL-13
SR-CT-PAPA-RKA08E01-01	P14	SR08/VC/SERIAL-14
SR-CT-PAPA-RKA08E01-01	P15	SR08/VC/SERIAL-15
SR-CT-PAPA-RKA08E01-01	P16	SR08/VC/SERIAL-16
SR-CT-PAPA-RKA08E01-01	P2	SR08/VC/SERIAL-02
SR-CT-PAPA-RKA08E01-01	P3	SR08/VC/SERIAL-03
SR-CT-PAPA-RKA08E01-01	P4	SR08/VC/SERIAL-04
SR-CT-PAPA-RKA08E01-01	P5	SR08/VC/SERIAL-05
SR-CT-PAPA-RKA08E01-01	P6	SR08/VC/SERIAL-06
SR-CT-PAPA-RKA08E01-01	P7	SR08/VC/SERIAL-07
SR-CT-PAPA-RKA08E01-01	P8	SR08/VC/SERIAL-08
SR-CT-PAPA-RKA08E01-01	P9	SR08/VC/SERIAL-09
SR-CT-PAPA-RKA09B02-01	P1	SR09/VC/SERIAL-01
SR-CT-PAPA-RKA09B02-01	P10	SR09/VC/SERIAL-10
SR-CT-PAPA-RKA09B02-01	P11	SR09/VC/SERIAL-11
SR-CT-PAPA-RKA09B02-01	P12	SR09/VC/SERIAL-12
SR-CT-PAPA-RKA09B02-01	P13	SR09/VC/SERIAL-13
SR-CT-PAPA-RKA09B02-01	P14	SR09/VC/SERIAL-14
SR-CT-PAPA-RKA09B02-01	P15	SR09/VC/SERIAL-15
SR-CT-PAPA-RKA09B02-01	P16	SR09/VC/SERIAL-16
SR-CT-PAPA-RKA09B02-01	P2	SR09/VC/SERIAL-02
SR-CT-PAPA-RKA09B02-01	P3	SR09/VC/SERIAL-03
SR-CT-PAPA-RKA09B02-01	P4	SR09/VC/SERIAL-04
SR-CT-PAPA-RKA09B02-01	P5	SR09/VC/SERIAL-05
SR-CT-PAPA-RKA09B02-01	P6	SR09/VC/SERIAL-06
SR-CT-PAPA-RKA09B02-01	P7	SR09/VC/SERIAL-07
SR-CT-PAPA-RKA09B02-01	P8	SR09/VC/SERIAL-08
SR-CT-PAPA-RKA09B02-01	P9	SR09/VC/SERIAL-09
SR-CT-PAPA-RKA10C08-01	P1	SR10/VC/SERIAL-01
SR-CT-PAPA-RKA10C08-01	P10	SR10/VC/SERIAL-10
SR-CT-PAPA-RKA10C08-01	P11	SR10/VC/SERIAL-11
SR-CT-PAPA-RKA10C08-01	P12	SR10/VC/SERIAL-12
SR-CT-PAPA-RKA10C08-01	P13	SR10/VC/SERIAL-13
SR-CT-PAPA-RKA10C08-01	P14	SR10/VC/SERIAL-14
SR-CT-PAPA-RKA10C08-01	P15	SR10/VC/SERIAL-15
