"Sub."	"S"	"Id"	"Equip.A"	"Equip Type"	"ChA"	"T. Name"	"Conf"	"Pinout"	"Equip.B"	"Equip Type"	"ChB"	"T. Name"	"Length"	"Real Length"	"Tray"	"Routing"	"Comments"	"Status"	"Diameter"
"VC"	"P"	36276	"BL04-VC-IPCT-RKX04A01-01"	"Varian Dual Controller"	"HV1"	"A"	"CoaxHV-1b"		"BL04-OP-FILT-OH01-01"	"BL04 PREFILTER UNIT"	"IP"	"B"	0	32.5	"S5"	"L2Ch2B1"	"Falta conectar en hutch y rack"	"TO-Tested (Ok)"	7.5
"VC"	"P"	36277	"BL04-VC-IPCT-RKX04A01-01"	"Varian Dual Controller"	"HV2"	"A"	"CoaxHV-1b"		"BL04-OP-WBAT-OH01-01"	"ALBA BL WBAT-3"	"IP"	"B"	0	34.5	"S5"	"L2Ch2B1"	"Falta conectar en hutch y rack"	"TO-Tested (Ok)"	7.5
"VC"	"P"	36278	"BL04-VC-IPCT-RKX04A01-02"	"Varian Dual Controller"	"HV1"	"A"	"CoaxHV-1b"		"BL04-OP-MIR-OH01-01"	"BL04 COLLIMATOR MIRROR"	"IP"	"B"	0	30	"S5"	"L2Ch2B2"	"Falta conectar en hutch y rack"	"TO-Tested (Ok)"	7.5
"VC"	"P"	36279	"BL04-VC-IPCT-RKX04A01-02"	"Varian Dual Controller"	"HV2"	"A"	"CoaxHV-1b"		"BL04-VC-BLVS-OH01-01"	"ALBA BL VACSEC-1"	"IP"	"B"	0	30	"S5"	"L2Ch2B2"	"Falta conectar en hutch y rack"	"TO-Tested (Ok)"	7.5
"DI"	"P"	36280	"BL04-VC-IPCT-RKX04A01-03"	"Varian Dual Controller"	"HV1"	"A"	"CoaxHV-1b"		"BL04-DI-FS-OH01-01"	"ALBA BL FLUO-2"	"IP"	"B"	0	31	"S5"	"L2Ch2B3"	"Conector roto en lado hutch (Prueba de tensado) >> REPARAR"	"TO-Tested (Ok)"	7.5
"VC"	"P"	36294	"BL04-VC-IPCT-RKX04A01-03"	"Varian Dual Controller"	"HV2"	"A"	"CoaxHV-1b"		"BL04-OP-MONO-OH01-01"	"BL04 MONO "	"IP"	"B"	0	29	"S5"	"L2Ch2B3"		"TO-Tested (Ok)"	7.5
"VC"	"P"	36281	"BL04-VC-IPCT-RKX04A01-04"	"Varian Dual Controller"	"HV1"	"A"	"CoaxHV-1b"		"BL04-OP-MIR-OH01-02"	"BL04 2ND COLLIMATOR"	"IP"	"B"	0	25	"S5"	"L2Ch2B4"	"Conector roto en lado hutch (Prueba de tensado) >> REPARAR"	"TO-Tested (Ok)"	7.5
"VC"	"P"	36282	"BL04-VC-IPCT-RKX04A01-04"	"Varian Dual Controller"	"HV2"	"A"	"CoaxHV-1b"		"BL04-OP-PSHU-OH01-01"	"ALBA BL SAFETY PHOTON SHUTTER-1"	"IP"	"B"	0	26	"S5"	"L2Ch2B4"	"Conector roto en lado hutch (Prueba de tensado) >> REPARAR"	"TO-Tested (Ok)"	7.5
"FE"	"P"	36275	"FE04-VC-IPCT-RKX04A01-01"	"Varian Dual Controller"	"HV1"	"A"	"CoaxHV-1b"		"FE04-FE-TRU-F04-01"	"ALBA FE TRIGGER UNIT"	"IP"	"B"	0	35	"S5"	"L2Ch2B1"	"Falta conectar en lado rack"	"TO-Tested (Ok)"	7.5
"VC"	"P"	36272	"BL04-VC-VGCT-RKX04A01-01"	"MKS 937A CC-1"	"CC1"	"A2"	"COAXHV-5"		"BL04-OP-FILT-OH01-01"	"BL04 PREFILTER UNIT"	"CC"	"B2"	0	33.5	"S5"	"L2Ch2B1"	"Falta conectar en hutch y rack"	"TO-Tested (Ok)"	9
"VC"	"P"	36273	"BL04-VC-VGCT-RKX04A01-01"	"MKS 937A CC-1"	"CC2"	"A2"	"COAXHV-5"		"BL04-OP-WBAT-OH01-01"	"ALBA BL WBAT-3"	"CC"	"B2"	0	34.5	"S5"	"L2Ch2B1"	"Falta conectar en hutch y rack"	"TO-Tested (Ok)"	9
