Alias	Attribute
BL09/EH/CCG-MIR-01/Pressure	BL09/VC/VGCT-02/p2
BL09/EH/CCG-MONO-01/Pressure	BL09/VC/VGCT-02/p1
BL09/EH/CCG-XMIC-01/Pressure	BL09/VC/VGCT-03/p2
BL09/OH/CCG-MIR-01/Pressure	BL09/VC/VGCT-01/p1
BL09/OH/CCG-MIR-02/Pressure	BL09/VC/VGCT-01/p2
BL09/OH/CCG-SLIT-01/Pressure	BL09/VC/VGCT-03/p1
BL09/EH/IP-DISET-01/Pressure	BL09/VC/IPCT-02/P2
BL09/EH/IP-DISET-02/Pressure	BL09/VC/IPCT-04/P2
BL09/EH/IP-IP100-01/Pressure	BL09/VC/IPCT-03/P2
BL09/EH/IP-MIR-01/Pressure	BL09/VC/IPCT-04/P1
BL09/EH/IP-MONO-01/Pressure	BL09/VC/IPCT-03/P1
BL09/OH/IP-DISET-01/Pressure	BL09/VC/IPCT-01/P1
BL09/OH/IP-MIR-01/Pressure	BL09/VC/IPCT-01/P2
BL09/OH/IP-MIR-02/Pressure	BL09/VC/IPCT-02/P1
