Sub.,S,Id,Equip.A,Equip Type,ChA,T. Name,Conf,Pinout,Equip.B,Equip Type,ChB,T. Name,Length,Real Length,Tray,Routing,Comments,Status,Diameter
VC,S,037411,FE11-VC-VGCT-RKX11A03-01,MKS 937A CC-1,AOUT,A1,STP12-1,,BL11-CT-PLC-RKX11A02-01,ALBA PLC CPU,AI07,B1,0.0,14.5,S1,L3, EPS,AI-Authorized for Installation,10.9
VC,S,037411,FE11-VC-VGCT-RKX11A03-01,MKS 937A CC-1,AOUT,A1,STP12-1,,BL11-CT-PLC-RKX11A02-01,ALBA PLC CPU,SPR07,B2,0.0,14.5,S1,L3, EPS,AI-Authorized for Installation,10.9
VC,S,037411,FE11-VC-VGCT-RKX11A03-01,MKS 937A CC-1,AOUT,A1,STP12-1,,BL11-CT-PLC-RKX11A02-01,ALBA PLC CPU,SPR08,B3,0.0,14.5,S1,L3, EPS,AI-Authorized for Installation,10.9
VC,S,037411,FE11-VC-VGCT-RKX11A03-01,MKS 937A CC-1,AOUT,A1,STP12-1,,BL11-CT-PLC-RKX11A02-01,ALBA PLC CPU,SPR09,B4,0.0,14.5,S1,L3, EPS,AI-Authorized for Installation,10.9
FE,P,034676,FE11-VC-VGCT-RKX11A03-01,MKS 937A CC-1,PI1,A,STP6-1,,FE11-FE-TRU-F11-01,ALBA FE TRIGGER UNIT,PIR,B,0.0,19.5,S5,L1ChOH01BOA,,AI-Authorized for Installation,7.2
VC,C,034700,FE11-VC-VGCT-RKX11A03-01,MKS 937A CC-1,SP1,A,STP8-2,,BL11-CT-PAPA-RKX11A03-01,RocketPort RM16 Patch Panel,P1,B,1.0,1,S2,NONE,INTERNAL,IO-Installed (Ok),6.7
FE,P,034690,FE11-VC-IPCT-RKX11A03-01,Varian Dual Controller,HV1,A,CoaxHV-1b,,FE11-FE-TRU-F11-01,ALBA FE TRIGGER UNIT,IP,B,0.0,19,S5,L1ChOH01BOA,,AI-Authorized for Installation,7.5
VC,C,037424,FE11-VC-IPCT-RKX11A03-01,Varian Dual Controller,REM1,A1,SMW6-3,,BL11-CT-PLC-RKX11A02-01,ALBA PLC CPU,DO10,B1,0.0,14.5,S2,L3,,AI-Authorized for Installation,6.4
VC,C,037424,FE11-VC-IPCT-RKX11A03-01,Varian Dual Controller,REM1,A1,SMW6-3,,BL11-CT-PLC-RKX11A02-01,ALBA PLC CPU,DI10,B2,0.0,14.5,S2,L3,,AI-Authorized for Installation,6.4
VC,C,037425,FE11-VC-IPCT-RKX11A03-01,Varian Dual Controller,REM2,A1,SMW6-3,,BL11-CT-PLC-RKX11A02-01,ALBA PLC CPU,SPR13,B1,0.0,14.5,S2,L3,,AI-Authorized for Installation,6.4
VC,C,037425,FE11-VC-IPCT-RKX11A03-01,Varian Dual Controller,REM2,A1,SMW6-3,,BL11-CT-PLC-RKX11A02-01,ALBA PLC CPU,SPR12,B2,0.0,14.5,S2,L3,,AI-Authorized for Installation,6.4
VC,C,034704,FE11-VC-IPCT-RKX11A03-01,Varian Dual Controller,SP,A,STP8-2,,BL11-CT-PAPA-RKX11A03-01,RocketPort RM16 Patch Panel,P5,B,1.0,1,S2,NONE,INTERNAL,IO-Installed (Ok),6.7
VC,S,037407,BL11-VC-VGCT-RKX11A03-01,MKS 937A CC-1,AOUT,A1,STP12-1,,BL11-CT-PLC-RKX11A02-01,ALBA PLC CPU,AI01,B1,0.0,14.5,S1,L3, EPS,AI-Authorized for Installation,10.9
VC,S,037407,BL11-VC-VGCT-RKX11A03-01,MKS 937A CC-1,AOUT,A1,STP12-1,,BL11-CT-PLC-RKX11A02-01,ALBA PLC CPU,AI02,B2,0.0,14.5,S1,L3, EPS,AI-Authorized for Installation,10.9
VC,S,037407,BL11-VC-VGCT-RKX11A03-01,MKS 937A CC-1,AOUT,A1,STP12-1,,BL11-CT-PLC-RKX11A02-01,ALBA PLC CPU,SPR01,B3,0.0,14.5,S1,L3, EPS,AI-Authorized for Installation,10.9
