Correspondence names for VAT Valves		22-Nov-11		
				
Current name	CLÆSS name	Notes:	Name for Channel 1	Name for Channel 2
FE22/VC/IPCT-01	IPCT_FE_TRU			
FE22/VC/PNV-01	PNV_FE_TRU			
FE22/VC/VGCT-01	CC_FE_TRU			
				
BL22/EH/PNV-01	PNV_EH_PIPE	Valve after the component		
BL22/OH/PNV-01	PNV_OH_WBAT	Valve after the component		
BL22/OH/PNV-02	PNV_OH_VCM	Valve after the component		
BL22/OH/PNV-03	PNV_OH_DCM	Valve after the component		
BL22/OH/PNV-04	PNV_OH_FSM3	Valve after the component		
BL22/OH/PNV-05	PNV_OH_VFM	Valve after the component		
BL22/OH/PNV-06	PNV_OH_PSHU	Valve after the component		
				
BL22/VC/IPCT-01	IPCT_WBAT/VCM		IP_WBAT	IP_VCM
BL22/VC/IPCT-02	IPCT_FSM1/DCM	The assignment of channels is wrong.	IP_FSM1	IP_DCM
BL22/VC/IPCT-03	IPCT_DM/FSM2	The assignment of channels is wrong.	IP_DM	IP_FSM2
BL22/VC/IPCT-04	IPCT_VFM/PSHU	The assignment of channels is wrong.	IP_VFM	IP_PSHU
BL22/VC/IPCT-05	IPCT_PIPE	Needs to be connected	IP_PIPE	
BL22/VC/IPCT-06		Does not exist		
				
BL22/VC/VGCT-01	CC_WBAT/VCM			
BL22/VC/VGCT-02	CC_DCM/DM			
BL22/VC/VGCT-03	CC_VFM/PSHU			
BL22/VC/VGCT-04	CC_PIPE			
BL22/VC/VGCT-99		This should be removed and use the BL22/VC/VGCT-04 instead, with the name therein added.		
				
General:				
				
WBAT-01	WBAT			
MIR-01	VCM			
FS-01/02/03/04	FSM-01/02/03/04			
MONO-01	DCM			
BLVS-01	DM			
MIR-02	VFM			
PSHU-01	PSHU			
EH-BLVS-01	PIPE	EH.		
IC		Can be removed from the pannel. EH.		
BPM	XBPM	EH.		
	VCSEC	To be added. EH.		
	CLEAR	To be added for the future. EH.		
ESTA	SAMPLE	EH.		
